Name,Address,Phone,Waze Link,Latitude,Longitude,Services
McDonald's Bukit Bintang,"120-120A Jalan Bukit Bintang, 55100, Kuala Lumpur, Malaysia",03-21427843,https://www.mcdonalds.com.my/locate-us,3.15,101.71,"24 Hours, Birthday Party, Breakfast, Cashless Facility, McCafe, McDelivery, WiFi, Digital Order Kiosk"
McDonald's Bangsar,"48, Jalan Telawi Lima, 59100, Bangsar Baru, Bangsar, Kuala Lumpur, Malaysia",03-22012551,https://www.mcdonalds.com.my/locate-us,3.13,101.67,"24 Hours, Birthday Party, Breakfast, Cashless Facility, McCafe, McDelivery, WiFi, Digital Order Kiosk"
McDonald's Alpha Angle,"Lot G-13, Ground Floor, Alpha Angle Complex, Jalan R1, Wangsa Maju, 53000, Setapak, Kuala Lumpur, Malaysia",03-41314015,https://www.mcdonalds.com.my/locate-us,3.2,101.73,"Birthday Party, Breakfast, Cashless Facility, Dessert Center, McCafe, McDelivery, WiFi, Digital Order Kiosk"
McDonald's Leisure Mall Cheras,"LG 16, Lower Ground Floor, Leisure Mall, Taman Segar, No. 6, Jalan Cheras, 56100, Cheras, Kuala Lumpur, Malaysia",03-91345785,https://www.mcdonalds.com.my/locate-us,3.09,101.74,"24 Hours, Birthday Party, Breakfast, Cashless Facility, McCafe, McDelivery, WiFi, Digital Order Kiosk"
McDonald's Desa Pandan,"Lot 2 &amp; 2-1, Jalan 1/76D, Desa Pandan, 55100, Kuala Lumpur, Malaysia",03-92028218,https://www.mcdonalds.com.my/locate-us,3.15,101.74,"Birthday Party, Cashless Facility, Dessert Center, McCafe, McDelivery, Digital Order Kiosk"
McDonald's Jalan Tun Perak,"38, Jalan Tun Perak, Ground &amp; Mezzanine Floor, Wisma Teck Lee, 50050, Kuala Lumpur, Malaysia",03-20266899,https://www.mcdonalds.com.my/locate-us,3.15,101.7,"Birthday Party, Breakfast, Cashless Facility, McCafe, McDelivery, Digital Order Kiosk"
McDonald's Gombak,"M01 &amp; M02, Kompleks Idaman, No. 40 - 50, Jalan 2/21D, Medan Idaman, Batu 5 1/4, Jalan Gombak, 53000, Kuala Lumpur, Malaysia",03-40319751,https://www.mcdonalds.com.my/locate-us,3.21,101.71,"Birthday Party, Breakfast, Cashless Facility, McCafe, McDelivery, WiFi, Digital Order Kiosk"
McDonald's Mont Kiara,"No. 1, Block D, Plaza Mont Kiara, Jalan Bukit Kiara, 50480, Bukit Kiara, Kuala Lumpur, Malaysia",03-62063255,https://www.mcdonalds.com.my/locate-us,3.17,101.65,"Birthday Party, Drive-Thru, Breakfast, Cashless Facility, McCafe, WiFi, Digital Order Kiosk"
McDonald's Petron Seremban-KL Highway DT,"8KM, KL-Seremban Highway, 57000, Seri Kembangan, Kuala Lumpur, Malaysia",03-89423932,https://www.mcdonalds.com.my/locate-us,3.05,101.71,"Birthday Party, Cashless Facility, Dessert Center, McCafe, McDelivery, WiFi, Digital Order Kiosk"
McDonald's Bandar Sri Damansara DT,"Lot PT21552 &amp; PT21553, Mukim Sungai Buloh, Persiaran Perdana, 52200, Bandar Sri Damansara, Kuala Lumpur, Malaysia",03-62617064,https://www.mcdonalds.com.my/locate-us,3.2,101.61,"Birthday Party, Drive-Thru, Breakfast, Cashless Facility, McCafe, McDelivery, WiFi, Digital Order Kiosk"
McDonald's Pandan Mewah DT,"Bangunan Restoran McDonald's, Jalan Mewah Utara, 68000, Ampang, Kuala Lumpur, Malaysia",012-6214202,https://www.mcdonalds.com.my/locate-us,3.13,101.76,"Birthday Party, Drive-Thru, Breakfast, Cashless Facility, McCafe, McDelivery, WiFi, Digital Order Kiosk"
McDonald's Setiawangsa DT,"Lot 16794 &amp; 16795, Jalan 37/56, Taman Setiawangsa, 54200, Kuala Lumpur, Malaysia",03-42567660,https://www.mcdonalds.com.my/locate-us,3.18,101.74,"Birthday Party, Drive-Thru, Breakfast, Cashless Facility, McCafe, McDelivery, WiFi, Digital Order Kiosk"
McDonald's Berjaya Times Square,"Lot 05-93, 93A, No. 1, Jalan Imbi, 55100, Kuala Lumpur, Malaysia",03-21100154,https://www.mcdonalds.com.my/locate-us,3.14,101.71,"Birthday Party, Drive-Thru, Breakfast, Cashless Facility, McCafe, McDelivery, Digital Order Kiosk"
McDonald's Kuchai Lama DT,"1/116B, Off Jalan Kuchai Lama, Kuchai Entrepreneurs Park, 58200, Kuala Lumpur, Malaysia",03-79822180,https://www.mcdonalds.com.my/locate-us,3.09,101.69,"24 Hours, Birthday Party, Drive-Thru, Breakfast, Cashless Facility, McCafe, McDelivery, WiFi, Digital Order Kiosk"
McDonald's Taman Connaught DT,"Lot 18113, Jalan Cendikiawan, 55100, Mukim Petaling, Kuala Lumpur, Malaysia",03-91016190,https://www.mcdonalds.com.my/locate-us,3.08,101.73,"24 Hours, Birthday Party, Drive-Thru, Breakfast, Cashless Facility, McCafe, McDelivery, WiFi, Digital Order Kiosk"
McDonald's Petronas TPM DT,"Petronas Petrol Station, Technology Park Malaysia, Seremban KL-Highway, 50700, Kuala Lumpur, Malaysia",03-90541502,https://www.mcdonalds.com.my/locate-us,3.06,101.7,"Birthday Party, Breakfast, Cashless Facility, Dessert Center, McCafe, McDelivery, WiFi, Digital Order Kiosk"
McDonald's Petronas Melati DT,"Lot 3644 HS (D) 70344 &amp;, Lot PT 8081 HS (D) 107241, Taman Melati, Mukim Setapak, 53100, Kuala Lumpur, Malaysia",03-41613791,https://www.mcdonalds.com.my/locate-us,3.23,101.73,"Birthday Party, Drive-Thru, Breakfast, Cashless Facility, McCafe, Digital Order Kiosk"
